data,all_num,all_nd_num,g_num,g_nd_num,l_num,l_nd_num,time
ADF,-,-,-,-,-,-,-
credit,5816,3190,612,596,5204,2911,353.1508915424347
bank,7632,4396,1000,754,6632,4075,151.33049964904785
census,10777,7255,1000,996,9777,7203,1553.8661532402039
EIDIG,-,-,-,-,-,-,-
credit,7387,4176,750,739,6637,3767,300.58992886543274
bank,9689,6054,1000,983,8689,5615,107.6849193572998
census,10762,7168,1000,998,9762,7091,801.3084135055542
NeuronFair,-,-,-,-,-,-,-
credit,7121,2733,804,747,6317,2375,422.8540892601013
bank,8769,2792,1000,962,7769,2350,187.6626844406128
census,10520,6960,1000,997,9520,6898,983.323038816452
FEDIG,-,-,-,-,-,-,-
credit,7659,7406,1000,969,6659,6476,224.3996512889862
bank,9033,8775,1000,970,8033,7848,98.63340377807617
census,9074,9035,1000,997,8074,8050,552.7985026836395
DICE,-,-,-,-,-,-,-
credit,9821,5996,1000,998,8821,5055,369.599573135376
bank,9538,6260,1000,977,8538,5432,154.18176102638245
census,10743,8134,1000,996,9743,7269,776.7085254192352
-,-,-,-,-,-,-,-
ADF,-,-,-,-,-,-,-
credit,5763,3180,612,596,5151,2886,362.1491901874542
bank,7647,4382,1000,754,6647,4087,156.82287645339966
census,10735,7326,1000,996,9735,7268,1258.6220200061798
EIDIG,-,-,-,-,-,-,-
credit,7359,4075,750,739,6609,3696,290.90404534339905
bank,9745,6000,1000,987,8745,5591,109.40415477752686
census,10745,7265,1000,998,9745,7181,597.3882069587708
NeuronFair,-,-,-,-,-,-,-
credit,7117,2778,804,747,6313,2426,379.10482931137085
bank,9024,2791,1000,971,8024,2363,191.81275987625122
census,10596,7070,1000,998,9596,7008,738.1861703395844
FEDIG,-,-,-,-,-,-,-
credit,8316,7980,1000,966,7316,7060,212.95341420173645
bank,8739,8584,1000,975,7739,7637,100.8646285533905
census,9286,9212,1000,995,8286,8239,586.6680438518524
DICE,-,-,-,-,-,-,-
credit,9845,5935,1000,990,8845,5012,363.45656633377075
bank,9449,6129,1000,979,8449,5313,149.6041603088379
census,10712,8045,1000,995,9712,7213,753.8787257671356
-,-,-,-,-,-,-,-
ADF,-,-,-,-,-,-,-
credit,5786,3249,612,596,5174,2939,356.6861515045166
bank,7669,4489,1000,754,6669,4165,152.24513339996338
census,10741,7328,1000,996,9741,7266,1243.597214460373
EIDIG,-,-,-,-,-,-,-
credit,7376,4184,750,739,6626,3796,291.2312436103821
bank,9729,5971,1000,981,8729,5548,109.48898386955261
census,10711,7177,1000,996,9711,7101,582.4323329925537
NeuronFair,-,-,-,-,-,-,-
credit,7097,2721,804,747,6293,2370,380.6895914077759
bank,9010,2739,1000,971,8010,2304,188.2335569858551
census,10463,6842,1000,998,9463,6783,775.2905485630035
FEDIG,-,-,-,-,-,-,-
credit,7939,7688,1000,969,6939,6759,223.1547749042511
bank,8260,8073,1000,969,7260,7137,96.22584629058838
census,9341,9288,1000,998,8341,8304,553.553190946579
DICE,-,-,-,-,-,-,-
credit,9850,6057,1000,996,8850,5120,364.7757558822632
bank,9543,6087,1000,976,8543,5276,151.1509449481964
census,10723,8087,1000,999,9723,7206,790.4668807983398
-,-,-,-,-,-,-,-
ADF,-,-,-,-,-,-,-
credit,5873,3248,612,596,5261,2943,355.231214761734
bank,7656,4475,1000,754,6656,4149,148.55648398399353
census,10788,7315,1000,996,9788,7267,1237.677542924881
EIDIG,-,-,-,-,-,-,-
credit,7383,4180,750,739,6633,3788,289.3715305328369
bank,9838,5953,1000,993,8838,5536,107.32963871955872
census,10758,7273,1000,999,9758,7193,609.7343485355377
NeuronFair,-,-,-,-,-,-,-
credit,7196,2759,804,747,6392,2388,376.98736333847046
bank,8893,2729,1000,968,7893,2286,190.16447830200195
census,10528,6846,1000,999,9528,6784,742.8402206897736
FEDIG,-,-,-,-,-,-,-
credit,8637,8201,1000,979,7637,7288,200.91040301322937
bank,8387,8149,1000,975,7387,7217,94.98672485351562
census,9395,9344,1000,1000,8395,8354,594.3019552230835
DICE,-,-,-,-,-,-,-
credit,9897,5940,1000,995,8897,5000,369.9211595058441
bank,9485,6122,1000,980,8485,5311,151.12314438819885
census,10776,8073,1000,999,9776,7204,769.7674493789673
-,-,-,-,-,-,-,-
ADF,-,-,-,-,-,-,-
credit,5826,3246,612,596,5214,2951,355.2715287208557
bank,7567,4443,1000,754,6567,4130,149.94749975204468
census,10771,7325,1000,996,9771,7274,1227.7672209739685
EIDIG,-,-,-,-,-,-,-
credit,7437,4210,750,739,6687,3824,293.34211778640747
bank,9618,5874,1000,975,8618,5479,107.86698341369629
census,10747,7185,1000,997,9747,7100,594.9911122322083
NeuronFair,-,-,-,-,-,-,-
credit,7160,2747,804,747,6356,2407,378.28732919692993
bank,9041,2664,1000,973,8041,2249,191.6752290725708
census,10499,6843,1000,997,9499,6778,761.4157428741455
FEDIG,-,-,-,-,-,-,-
credit,7531,7324,1000,974,6531,6384,214.9541938304901
bank,8224,8011,1000,969,7224,7080,96.39708876609802
census,9315,9255,1000,997,8315,8277,586.5089242458344
DICE,-,-,-,-,-,-,-
credit,9861,5996,1000,986,8861,5074,363.2529785633087
bank,9586,6227,1000,980,8586,5396,150.39718794822693
census,10763,8159,1000,998,9763,7284,795.905758857727
-,-,-,-,-,-,-,-
